"Дата"	"Особового складу"	"Танків"	"Бойових броньованих машин"	"Артилерійських систем"	"ЗРК БУК"	"Град"	"РСЗВ"	"Засоби ППО"	"Літаків"	"Гелікоптерів"	"Автомобільної техніки"	"Цистерн з ПММ"	"Автомобільної техніки та автоцистерн"	"Кораблі /катери"	"БПЛА оперативно-тактичного рівня"	"Спеціальна техніка"	"Крилаті ракети"	"Пускові установки ОТРК/ТРК"	"URL"
"2022-02-25"	800	30	130						7	6									"https://www.mil.gov.ua/news/2022/02/25/zbrojni-sili-ukraini-zavdali-suttevih-vtrat-rosijskim-okupantam/"
"2022-02-26"	3000	102	536	15	1				14	8	17		17						"https://www.facebook.com/MinistryofDefence.UA/posts/264553732523753"
"2022-02-27"	4300	146	706	49	1	4			27	26	30	60	90	2	2				"https://www.mil.gov.ua/news/2022/02/27/sumarni-orientovni-vtrati-voroga-za-tri-poperedni-dobi-(24-26-lyutogo)-zagarbniczkoi-vijni-rosijskoi-federaczii-v-ukraini/"
"2022-02-28"	5300	191	816	74	1	21		5	29	29	291	60	351	2	3				"https://www.mil.gov.ua/news/2022/02/28/sumarni-orientovni-vtrati-voroga-za-chotiri-dobi-zagarbniczkoi-vijni-rosijskoi-federaczii-v-ukraini/"
"2022-03-01"	5710	198	846	77			24	7	29	29	305	60	365	2	3				"https://www.mil.gov.ua/news/2022/03/01/vtrati-rosijskogo-okupanta-skladayut-ponad-5700-osib-polonenih-%E2%80%93-200-velika-kilkist-ozbroennya-ta-vijskovoi-tehniki-%E2%80%93-genshtab-zsu/"
"2022-03-02"	5840	211	862	85			40	9	30	31	355	60	415	2	3				"https://www.mil.gov.ua/news/2022/03/02/vtrati-rosijskih-okupantiv-za-shist-dib-zagarbniczkoi-vijni-rosijskoi-federaczii-v-ukraini-%E2%80%93-generalnij-shtab-zsu/"
"2022-03-03"	9000	217	900	90			42	11	30	31	374	60	434	2	3				"https://www.mil.gov.ua/news/2022/03/03/vtrati-rosijskogo-okupanta-za-sim-dib-zagarbniczkoi-vijni-rf-v-ukraini-skladayut-blizko-9000-osib-ponad-1500-odinicz-ozbroennya-ta-vijskovoi-tehniki-%E2%80%93-genshtab-zsu/"
"2022-03-04"	9166	251	939	105			50	18	33	37	404	60	464	2	3				"https://www.mil.gov.ua/news/2022/03/04/vtrati-protivnika-stanovlyat-ponad-9-000-osib-znishheno-veliku-kilkist-ovt/"
"2022-03-05"	10000	269	945	105			50	19	39	40	409	60	469	2	3				"https://www.mil.gov.ua/news/2022/03/05/vtrati-rosijskih-okupantiv-stanovlyat-ponad-10-000-osib-znishheno-majzhe-2000-odinicz-vorozhogo-ovt/"
"2022-03-06"	11000	285	985	109			50	21	44	48	447	60	507	2	4				"https://www.mil.gov.ua/news/2022/03/06/vtrati-rosijskih-okupantiv-stanovlyat-ponad-11-000-osib-znishheno-bilshe-2000-odinicz-vorozhogo-ozbroennya-i-vijskovoi-tehniki-%E2%80%93-generalnij-shtab-zs-ukraini/"
